Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,Moves,NumMoves
Rated Bullet game,https://lichess.org/VsUqVhC2,2025.07.01,-,my_name_jeff,xxxgrishaxxx,0-1,2025.07.01,00:00:31,1706,1671,-6,+6,A43,Benoni Defense: Old Benoni,60+0,Time forfeit,1. d4 1... c5 2. e3 2... e6 3. dxc5 3... Bxc5 4. Nf3 4... Nf6 5. c3 5... Nc6 6. Bb5 6... a6 7. Bxc6 7... bxc6 8. O-O 8... d5 9. Nd4 9... Bd7 10. Qf3 10... O-O 11. h4 11... e5 12. Nc2 12... Bd6 13. h5 13... e4 14. Qe2 14... Bg4 15. f3 15... exf3 16. gxf3 16... Bxh5 17. e4 17... dxe4 18. Ne1 18... exf3 19. Nxf3 19... Qd7 20. Bg5 20... Qg4+ 21. Qg2 21... Qxg2+ 22. Kxg2 22... Bxf3+ 23. Rxf3 23... Ne4 24. Be3 24... h6 25. Nd2 25... Rfe8 26. Nxe4 26... Rxe4 27. Bd4 27... Rae8 28. Raf1 28... c5 29. Bg1 29... f6 30. a3 30... Re2+ 31. Bf2 31... Rxb2 32. Kh3 32... Ree2 33. Kg2 33... c4 34. a4 34... Bc5 35. Re3 35... Bxe3,35
Rated Bullet game,https://lichess.org/dAPM8wzS,2025.07.01,-,Lostratega,abdo0diab2000,1-0,2025.07.01,00:00:31,2262,2191,+5,-5,A46,Indian Defense: Wade-Tartakower Defense,60+0,Normal,1. d4 1... d6 2. Nf3 2... Nf6 3. c4 3... d5 4. Nc3 4... Bg4 5. cxd5 5... Bxf3 6. exf3 6... Nxd5 7. Bc4 7... c6 8. Qb3 8... Nxc3 9. bxc3 9... Qb6 10. Bxf7+ 10... Kd8 11. Qe6 11... Nd7 12. O-O 12... Nf6 13. Bg5 13... Nd5 14. c4 14... Nc7 15. Qe4 15... Qa5 16. Bf4 16... Kd7 17. Bxc7 17... Kxc7 18. d5 18... Rd8 19. dxc6 19... bxc6 20. Rab1 20... e5 21. c5 21... Qxc5 22. Rfc1 22... Qd6 23. h3 23... Be7 24. Bb3 24... Qd4 25. Qxc6+ 25... Kb8 26. Bd5+ 26... Bb4 27. Qb7#,26
Rated Bullet game,https://lichess.org/aoCEGX3k,2025.07.01,-,YarnHugen,LateralusMind,0-1,2025.07.01,00:00:31,2279,2339,-5,+4,A46,Yusupov-Rubinstein System,60+0,Normal,1. d4 1... Nf6 2. Nf3 2... e6 3. e3 3... Be7 4. Bd3 4... b6 5. O-O 5... Bb7 6. b3 6... c5 7. Bb2 7... cxd4 8. e4 8... O-O 9. Re1 9... d6 10. Nxd4 10... Nbd7 11. Nd2 11... a6 12. a3 12... Rc8 13. N2f3 13... Rc7 14. Qd2 14... Qa8 15. Rad1 15... Nxe4 16. Bxe4 16... Bxe4 17. c4 17... Nf6 18. h3 18... Rd8 19. Qe3 19... Bb7 20. Ng5 20... e5 21. Nde6 21... fxe6 22. Nxe6 22... Rcd7 23. Nxd8 23... Qxd8 24. b4 24... Qa8 25. g3 25... Bf3 26. Rd3 26... Bh1 27. f3 27... e4 28. fxe4 28... Bxe4 29. Rd2 29... Bg6 30. Qe6+ 30... Bf7 31. Bxf6 31... Bxe6,31
Rated Bullet game,https://lichess.org/yNTMyTZV,2025.07.01,-,Timon_01,tbruins82,0-1,2025.07.01,00:00:31,971,1040,-16,+4,A00,Polish Opening,60+0,Normal,1. b4 1... e5 2. Bb2 2... f5 3. Bxe5 3... Bc5 4. Bxg7 4... Bxf2+ 5. Kxf2 5... Qg5 6. Bxh8 6... Nf6 7. Bxf6 7... Qxf6 8. Ke1 8... Qxa1 9. Nc3 9... Qxa2 10. Qb1 10... Qe6 11. Nf3 11... Qh6 12. e3 12... d6 13. Bc4 13... Nc6 14. Kf2 14... Be6 15. Bxe6 15... Qxe6 16. Ng5 16... Qh6 17. Nf3 17... O-O-O 18. Qb3 18... Ne5 19. Nxe5 19... dxe5 20. h3 20... Rxd2+ 21. Kg1 21... Qh4 22. Kh2 22... f4 23. Ne4 23... fxe3 24. Nxd2 24... Qf4+ 25. g3 25... Qf2#,25
Rated Bullet game,https://lichess.org/8BMCO7Nj,2025.07.01,-,birddead,jay623,0-1,2025.07.01,00:00:31,1752,1737,-6,+6,C41,Philidor Defense,60+0,Time forfeit,1. e4 1... e5 2. Nf3 2... d6 3. Bc4 3... Be7 4. d4 4... h6 5. dxe5 5... a6 6. exd6 6... cxd6 7. Nc3 7... Nc6 8. O-O 8... Na5 9. Bd5 9... Nc6 10. h3 10... Bd7 11. Bf4 11... Nf6 12. Bb3 12... Na5 13. Nd5 13... Nxd5 14. Bxd5 14... Bc6 15. Bxc6+ 15... bxc6 16. Qd2 16... O-O 17. Rad1 17... d5 18. exd5 18... cxd5 19. Qxd5 19... Bf6 20. Qxd8 20... Rfxd8 21. Be5 21... Rxd1 22. Rxd1 22... Bxe5 23. Nxe5 23... Re8 24. Nf3 24... Nc4 25. b3 25... Na3 26. c4 26... a5 27. c5 27... a4 28. bxa4 28... Nc4 29. c6 29... Rc8 30. Nd4 30... Ne5 31. Rc1 31... g6 32. a5 32... f5 33. a6 33... Kf7 34. a7 34... Ra8 35. c7 35... Rxa7 36. c8=Q 36... Rxa2 37. Rc7+ 37... Kf6 38. Qe6+ 38... Kg5 39. h4+ 39... Kf4 40. Qxe5+ 40... Kxe5 41. Re7+ 41... Kxd4,41
Rated Bullet game,https://lichess.org/oZg3qWYl,2025.07.01,-,a_Random_Rook,Tomorrow_Man,0-1,2025.07.01,00:00:31,1786,1801,-5,+6,B00,Owen Defense,60+0,Time forfeit,1. e4 1... b6 2. d3 2... Bb7 3. Nc3 3... g6 4. Be3 4... Bg7 5. Nf3 5... e6 6. Be2 6... Ne7 7. Qd2 7... d5 8. O-O-O 8... d4 9. Bxd4 9... Bxd4 10. Nxd4 10... Qxd4 11. f4 11... Nbc6 12. g4 12... O-O-O 13. f5 13... gxf5 14. gxf5 14... exf5 15. exf5 15... Nxf5 16. Qg5 16... Qe3+ 17. Qxe3 17... Nxe3 18. Rdg1 18... Rhg8 19. Re1 19... Nd4 20. Bh5 20... Bxh1 21. Rxe3 21... Bb7 22. h3 22... Rg1+ 23. Kd2 23... Rdg8 24. Bg4+ 24... Kb8 25. Re7 25... Bc8 26. Nd5 26... Bxg4 27. hxg4 27... Rg2+ 28. Kc3 28... Nb5+ 29. Kb4 29... Nd6 30. Nxc7 30... R2xg4+ 31. Kc3 31... R8g5 32. Ne8 32... Nb5+ 33. Kb3 33... Rg2 34. Rxf7 34... Nd4+ 35. Kc3 35... Ne2+ 36. Kb3 36... Rb5+,36
Rated Bullet game,https://lichess.org/yUEcdPCa,2025.07.01,-,ale_998,ArtyCranner,0-1,2025.07.01,00:00:31,1144,1125,-6,+7,A00,Van't Kruijs Opening,60+0,Normal,1. e3 1... c6 2. d4 2... d5 3. c4 3... Bf5 4. Nc3 4... e6 5. Bd3 5... Bxd3 6. Qxd3 6... Nf6 7. cxd5 7... cxd5 8. Nf3 8... Nc6 9. O-O 9... Qb6 10. Ne5 10... Nxe5 11. dxe5 11... Nd7 12. b3 12... Nxe5 13. Qc2 13... Bd6 14. Na4 14... Qc7 15. Bb2 15... Qxc2,15
Rated Bullet game,https://lichess.org/MIxT6upK,2025.07.01,-,likerszap,vincgrandmaster,0-1,2025.07.01,00:00:31,1950,1946,-6,+6,A00,Hungarian Opening,60+0,Time forfeit,1. g3 1... e5 2. Bg2 2... Nf6 3. e4 3... c6 4. c4 4... d5 5. cxd5 5... cxd5 6. exd5 6... Nxd5 7. Ne2 7... Be6 8. O-O 8... Nc6 9. d4 9... e4 10. a3 10... Bf5 11. b4 11... Bd6 12. Qb3 12... Nb6 13. d5 13... Nd4 14. Nxd4 14... Be5 15. Bb2 15... Qf6 16. Rd1 16... O-O 17. Nd2 17... Qh6 18. Nxf5 18... Qg5 19. Ne3 19... Rae8 20. Bxe5 20... Qxe5 21. d6 21... Rd8 22. Ndc4 22... Nxc4 23. Nxc4 23... Qf5 24. Re1 24... Qf6 25. Bxe4 25... Qe5 26. Bxb7 26... Qe6 27. Ba6 27... Qf6 28. Rad1 28... Qg6 29. Ne5 29... Qf6,29
Rated Bullet game,https://lichess.org/PQKFGjSt,2025.07.01,-,br0ze-YT,QueenPalestine,1-0,2025.07.01,00:00:31,1579,1511,+5,-4,A05,Zukertort Opening: Lemberger Gambit,60+0,Time forfeit,1. e4 1... Nf6 2. Nf3 2... d6 3. d3 3... c6 4. Nc3 4... e5 5. Bg5 5... Be7 6. Be2 6... O-O 7. Qd2 7... Qc7 8. O-O-O 8... Rd8 9. h4 9... h6 10. Ne1 10... hxg5 11. hxg5 11... Nh7 12. Qe3 12... Bxg5 13. f4 13... Bxf4 14. Qxf4 14... exf4 15. Nf3 15... f5 16. Rh4 16... fxe4 17. dxe4 17... g5 18. Rh5 18... Bg4 19. Rh6 19... Bxf3 20. Bxf3 20... Nd7 21. Rdh1 21... Ndf6 22. Rg6+ 22... Kf7 23. Rgh6 23... Rh8 24. e5 24... dxe5 25. Ne4 25... Nxe4 26. Bxe4 26... Kg8 27. Bxh7+ 27... Rxh7 28. Rg6+ 28... Kh8 29. Rd1 29... Rg8 30. Rgd6 30... g4 31. R6d2 31... f3 32. gxf3 32... gxf3 33. Rf2 33... Rf8 34. Rdf1 34... e4 35. a3 35... Qf4+ 36. Kb1,35
Rated Bullet game,https://lichess.org/af0VgzsN,2025.07.01,-,peakfallenn,qmrtll,1-0,2025.07.01,00:00:31,1820,1850,+7,-7,A40,Queen's Pawn Game,60+0,Normal,1. d4 1... c6 2. Bf4 2... d5 3. e3 3... Bf5 4. Bd3 4... Bxd3 5. Qxd3 5... e6 6. c3 6... Bd6 7. Bg3 7... Ne7 8. Nf3 8... Nf5 9. Nbd2 9... O-O 10. e4 10... Nxg3 11. hxg3 11... a6 12. e5 12... Be7 13. Qxh7#,12
Rated Bullet game,https://lichess.org/7xAyPQ3J,2025.07.01,-,randy-6500,salutsashaa,0-1,2025.07.01,00:00:31,890,878,-6,+6,C55,Italian Game: Two Knights Defense,60+0,Time forfeit,1. e4 1... e5 2. Bc4 2... Nc6 3. Nf3 3... Nf6 4. O-O 4... d6 5. Re1 5... Be6 6. Bxe6 6... fxe6 7. c3 7... d5 8. Qb3 8... dxe4 9. Qxe6+ 9... Be7 10. Nxe5 10... Nxe5 11. Qxe5 11... Qd5 12. Qxc7 12... O-O 13. c4 13... Qd6 14. Qxd6 14... Bxd6 15. d4 15... Ng4,15
Rated Bullet game,https://lichess.org/OBKRll5i,2025.07.01,-,KaanSondal,TETONUNKOCASI54,1-0,2025.07.01,00:00:31,1346,1411,+7,-7,B01,Scandinavian Defense: Valencian Variation,60+0,Time forfeit,1. e4 1... d5 2. exd5 2... Qxd5 3. Nc3 3... Qd8 4. Nf3 4... Nc6 5. Bb5 5... Bd7 6. Bxc6 6... Bxc6 7. O-O 7... Nf6 8. d3 8... e6 9. Bg5 9... Be7 10. Bh4 10... O-O 11. Ne5 11... Bd7 12. Qf3 12... Nd5 13. Nxd5 13... exd5 14. Bxe7 14... Qxe7 15. Qg3 15... f6 16. Nxd7 16... Qxd7 17. Rfe1 17... c6 18. Re2 18... Rfe8 19. Rae1 19... Rxe2 20. Rxe2 20... Qf7 21. h3 21... Re8 22. Rxe8+ 22... Qxe8 23. Kf1 23... Kf7 24. Qc7+ 24... Qe7 25. Qxe7+ 25... Kxe7 26. Ke2 26... Kd6 27. Ke3 27... b5 28. d4 28... c5 29. c3 29... c4 30. b3 30... g5 31. b4 31... a6 32. Kf3 32... f5 33. g4 33... Ke6 34. Kg3 34... f4+ 35. Kf3 35... Kf6 36. Kg2 36... Kg6 37. f3 37... h5 38. a3 38... hxg4 39. hxg4 39... Kf6 40. Kf2 40... Ke6 41. Ke2 41... Kd6 42. Kd2 42... Ke6 43. Kc2 43... Kd6 44. Kb2 44... Kc6 45. a4 45... bxa4 46. Ka3 46... Kb5 47. Ka2 47... a5 48. Ka3 48... axb4+ 49. cxb4,48
Rated Bullet game,https://lichess.org/NxPsRl9G,2025.07.01,-,omniscient_pants,ricardorst,0-1,2025.07.01,00:00:31,1855,1888,-5,+5,D00,Queen's Pawn Game: Levitsky Attack,60+0,Time forfeit,1. d4 1... d5 2. Bg5 2... Nc6 3. Nf3 3... Bg4 4. e3 4... f6 5. Bf4 5... e6 6. Nc3 6... Bd6 7. Bxd6 7... Qxd6 8. Nb5 8... Qb4+ 9. Nc3 9... Nge7 10. Rb1 10... O-O 11. Be2 11... Ng6 12. h3 12... Bxf3 13. Bxf3 13... Rad8 14. h4 14... e5 15. h5 15... Nge7 16. dxe5 16... fxe5 17. O-O 17... e4 18. Be2 18... Ne5 19. a3 19... Qd6 20. b4 20... c6 21. a4 21... Nf5 22. b5 22... g6 23. Qc1 23... gxh5 24. Rd1 24... Qg6 25. g3 25... h4 26. g4 26... Nh6 27. Kh2 27... Nhxg4+ 28. Bxg4 28... Qxg4 29. Rg1 29... Nf3+ 30. Kh1 30... Nxg1 31. Qxg1 31... Qxg1+ 32. Rxg1+ 32... Kh8 33. Ne2 33... Rxf2 34. Nf4 34... Rxf4 35. exf4 35... Rf8 36. Rf1 36... Rf5 37. Kg2 37... Kg7 38. Kh3 38... Kg6 39. Kxh4 39... h5 40. Rg1+ 40... Kf6 41. Rf1 41... c5 42. b6 42... axb6 43. c3 43... d4 44. cxd4 44... cxd4 45. Rd1 45... Rxf4+ 46. Kxh5 46... Ke5 47. Rg1 47... d3 48. Rg5+ 48... Rf5 49. Rxf5+ 49... Kxf5 50. Kh6 50... d2,50
Rated Bullet game,https://lichess.org/p70cvKcm,2025.07.01,-,mike_flotsam,NandoFlow,1-0,2025.07.01,00:00:31,2064,2064,+6,-5,D30,Queen's Gambit Declined,60+0,Time forfeit,1. d4 1... d5 2. c4 2... e6 3. cxd5 3... exd5 4. Nc3 4... Nf6 5. a3 5... Bd6 6. h3 6... O-O 7. Nf3 7... Nbd7 8. Bg5 8... Re8 9. Bxf6 9... Nxf6 10. e3 10... Bf8 11. Bd3 11... c6 12. Qc2 12... h6 13. Rc1 13... Nh5 14. Bg6 14... fxg6 15. Qxg6 15... Nf6 16. Ne5 16... Qe7 17. O-O 17... Be6 18. Qg3 18... Bf7 19. Rfe1 19... Qe6 20. e4 20... dxe4 21. Nxe4 21... Nxe4 22. Rxe4 22... Bd6 23. Rce1 23... Bxe5 24. Rxe5 24... Qf6 25. Rxe8+ 25... Rxe8 26. Rxe8+ 26... Bxe8 27. Qb8 27... Qe7 28. Qf4 28... Bf7 29. Qd2 29... Kh7 30. f3 30... Bg6 31. Kf2 31... Qd6 32. g3 32... Qe6 33. b4 33... Qxh3 34. Qf4 34... Qh2+ 35. Ke3 35... Qb2 36. Qc7 36... Qxa3+ 37. Kf4 37... Qxb4 38. Qe5 38... a5 39. g4 39... a4 40. g5 40... hxg5+ 41. Qxg5 41... Qxd4+ 42. Kg3 42... Qd6+ 43. f4 43... a3 44. Qh4+ 44... Kg8 45. Qh1 45... a2 46. Qa1 46... Qd3+ 47. Kg4 47... Qf5+ 48. Kf3 48... Qb1 49. Qe5,48
Rated Bullet game,https://lichess.org/H7H2pZpV,2025.07.01,-,nEiL_lAd,Tiger-DLH,1-0,2025.07.01,00:00:31,2652,2770,+8,-7,B23,Sicilian Defense: Closed,60+0,Time forfeit,1. Nc3 1... c5 2. e4 2... d6 3. d3 3... a6 4. g3 4... Nf6 5. Bg2 5... e5 6. Nge2 6... Be7 7. O-O 7... O-O 8. h3 8... Be6 9. f4 9... Nc6 10. f5 10... Bd7 11. g4 11... b5 12. Qe1 12... Ne8 13. Be3 13... Bg5 14. Bf2 14... Nd4 15. h4 15... Nxc2 16. Qd1 16... Nxa1 17. hxg5 17... Qxg5 18. Qxa1 18... Qxg4 19. Qd1 19... g6 20. Ng3 20... Qxd1 21. Rxd1 21... Nf6 22. Be3 22... Ng4 23. Bg5 23... Rfe8 24. Bd2 24... Bc6 25. Bf3 25... Nf6 26. fxg6 26... fxg6 27. Kg2 27... b4 28. Nd5 28... Nxd5 29. exd5 29... Bb5 30. a4,29
Rated Bullet game,https://lichess.org/0SHqgE07,2025.07.01,-,xeqtr85,YogiBearBack,0-1,2025.07.01,00:00:31,1963,2027,-4,+5,C45,Scotch Game,60+0,Normal,1. e4 1... e5 2. Nf3 2... Nc6 3. d4 3... exd4 4. Nxd4 4... d5 5. Nxc6 5... bxc6 6. exd5 6... Qxd5 7. Qxd5 7... cxd5 8. Bb5+ 8... Bd7 9. Bxd7+ 9... Kxd7 10. Nc3 10... c6 11. Bf4 11... Bb4 12. Bd2 12... Re8+ 13. Kd1 13... Nf6 14. a3 14... Bxc3 15. Bxc3 15... Ne4 16. Rf1 16... Nxc3+ 17. bxc3 17... Re7 18. Rb1 18... Rhe8 19. Rb7+ 19... Kd6 20. Rxe7 20... Rxe7 21. Re1 21... Rxe1+ 22. Kxe1 22... Kc5 23. Kd2 23... Kc4 24. f3 24... f5 25. g3 25... g5 26. h3 26... h5 27. g4 27... fxg4 28. fxg4 28... h4 29. a4 29... a5 30. Kc1 30... Kxc3 31. Kb1 31... c5 32. Kc1 32... c4 33. Kb1 33... d4 34. Kc1 34... d3 35. cxd3 35... cxd3 36. Kd1 36... d2 37. Ke2 37... Kc2 38. Ke3 38... d1=Q 39. Ke4 39... Qh1+ 40. Kf5 40... Qxh3 41. Kxg5 41... Qg3 42. Kh5 42... h3 43. g5 43... h2 44. Kg6 44... h1=Q 45. Kf6 45... Qxg5+ 46. Kxg5 46... Qc6 47. Kf4 47... Qxa4+ 48. Ke5 48... Qc4 49. Kd6 49... a4 50. Ke5 50... a3 51. Kd6 51... a2 52. Kd7 52... a1=Q 53. Kd6 53... Qad4+ 54. Ke7 54... Qe2+ 55. Kf8 55... Qdf2+ 56. Kg7 56... Qg4+ 57. Kh8 57... Qh2#,57
Rated Bullet game,https://lichess.org/B5be9DYM,2025.07.01,-,M4ll4ns0hn,JohnnySilence,0-1,2025.07.01,00:00:31,1049,1102,-5,+5,D00,Queen's Pawn Game: Accelerated London System,60+0,Time forfeit,1. d4 1... d5 2. Bf4 2... e6 3. e3 3... f6 4. Nc3 4... g5 5. Bg3 5... c6 6. h3 6... b5 7. Bd3 7... h5 8. Qe2 8... b4 9. Bb5 9... h4 10. Bxc6+ 10... Ke7 11. Nxd5+ 11... Kf7 12. Bh2 12... exd5 13. Bxd5+ 13... Qxd5 14. Nf3 14... f5 15. Nxg5+ 15... Kg6 16. Bf4 16... Nh6 17. Nf3 17... Bd6 18. Ne5+ 18... Kf6 19. Qh5 19... b3 20. Qg6+ 20... Ke7 21. Qf7+ 21... Nxf7 22. Nxf7 22... Qc4 23. Bxd6+ 23... Kxf7,23
Rated Bullet game,https://lichess.org/LtKW7NUl,2025.07.01,-,andyziva,silverchair,0-1,2025.07.01,00:00:31,1933,1927,-6,+6,A40,Englund Gambit Declined: Reversed Krebs,60+0,Normal,1. d4 1... e5 2. Nf3 2... e4 3. Nfd2 3... Nf6 4. e3 4... Bb4 5. c4 5... O-O 6. a3 6... Bxd2+ 7. Nxd2 7... d5 8. b4 8... dxc4 9. Bxc4 9... Ng4 10. h3 10... Qh4 11. O-O 11... Nc6 12. Be2 12... h5 13. hxg4 13... hxg4 14. Bb2 14... g3 15. Nxe4 15... Qh2#,15
Rated Blitz game,https://lichess.org/jtCmSCmh,2025.07.01,-,Gvozdodyor78,ABuggersLife,1-0,2025.07.01,00:00:31,2045,2126,+8,-7,B56,Sicilian Defense: Classical Variation,300+0,Normal,1. e4 1... c5 2. Nf3 2... d6 3. d4 3... cxd4 4. Nxd4 4... Nf6 5. Nc3 5... Nc6 6. f3 6... a6 7. Be3 7... e5 8. Nb3 8... Be7 9. Qd2 9... Be6 10. O-O-O 10... O-O 11. g4 11... b5 12. g5 12... Nd7 13. h4 13... Qc7 14. Kb1 14... Rfc8 15. Bh3 15... Nb6 16. Bxb6 16... Qxb6 17. Nd5 17... Bxd5 18. exd5 18... Na7 19. Bxc8 19... Rxc8 20. f4 20... Bd8 21. h5 21... a5 22. g6 22... h6 23. gxf7+ 23... Kf8 24. fxe5 24... dxe5 25. d6 25... a4 26. Nc1 26... Nc6 27. Nd3 27... Bf6 28. Rhf1 28... Nd4 29. d7 29... Rd8 30. Rxf6 30... Qxf6 31. Nc5 31... Qc6 32. Qb4 32... Kxf7 33. Rf1+ 33... Kg8 34. c4 34... Qg2 35. Rc1 35... Qf3 36. cxb5 36... Qf5+ 37. Ka1 37... Nc2+ 38. Rxc2 38... Qxc2 39. a3 39... Qd1+ 40. Ka2 40... Qd5+ 41. Ka1 41... Rf8 42. d8=Q 42... Qxd8 43. Qxa4 43... Rf1+ 44. Ka2 44... Qd5+ 45. Nb3 45... Qd1 46. Qc4+ 46... Kh8 47. a4 47... Qb1+ 48. Ka3 48... Rf4 49. Qc8+ 49... Kh7 50. b6 50... Qe4 51. Qd7 51... Qb4+ 52. Ka2 52... Qxa4+ 53. Qxa4 53... Rxa4+ 54. Kb1 54... Rb4 55. Kc2 55... Rxb6 56. Nd2 56... Rb4 57. Kc3 57... Rh4 58. b4 58... Rxh5 59. Ne4 59... Rh3+ 60. Kc4 60... h5 61. b5 61... h4 62. b6 62... Rh1 63. Nd6 63... Rf1 64. b7 64... Rf8 65. Nc8 65... Rf4+ 66. Kc5,65
Rated Bullet game,https://lichess.org/Pam22wbw,2025.07.01,-,upstateny,FauciChess,0-1,2025.07.01,00:00:31,2098,2125,-5,+5,B06,Modern Defense,30+0,Time forfeit,1. e4 1... g6 2. d4 2... d6 3. Nc3 3... e5 4. dxe5 4... dxe5 5. Qxd8+ 5... Kxd8 6. Nf3 6... Bg7 7. Bg5+ 7... f6 8. O-O-O+ 8... Ke7 9. Be3 9... c6 10. Bc5+ 10... Kf7 11. Nd2 11... Be6 12. Nb3 12... Ne7 13. f4 13... a6 14. fxe5 14... fxe5 15. Bd3 15... Nd7 16. Rhf1+ 16... Ke8 17. Bxe7 17... Kxe7 18. Ne2 18... Rhf8 19. Nd2 19... Nc5 20. Nf3 20... Nxd3+ 21. Rxd3 21... Bg4 22. Rfd1 22... Bxf3 23. gxf3 23... Rad8 24. Rxd8 24... Rxd8 25. Re1 25... Rf8 26. f4 26... exf4 27. Nd4 27... f3 28. Nxf3 28... Rxf3 29. e5 29... Rf2 30. b4 30... Ke6 31. c4 31... Bxe5 32. c5 32... Rxa2 33. b5 33... Ra1+ 34. Kd2 34... Rxe1 35. bxa6 35... bxa6 36. h3 36... Rb1 37. h4 37... a5 38. h5 38... a4 39. hxg6 39... hxg6 40. Kd3 40... a3 41. Kc4 41... a2,41
Rated Bullet game,https://lichess.org/xiYGkO9x,2025.07.01,-,Giakomo22,xan9xx,1-0,2025.07.01,00:00:31,1519,1544,+8,-6,C01,French Defense: Exchange Variation,60+0,Normal,1. e4 1... e6 2. d4 2... d5 3. exd5 3... exd5 4. Nc3 4... Nf6 5. Nf3 5... Bb4 6. Bd2 6... O-O 7. Bd3 7... Re8+ 8. Be2? 8... h6?! 9. O-O 9... Nc6 10. a3 10... Bxc3 11. Bxc3 11... Bg4 12. Qd3 12... Re7 13. h3 13... Bxf3 14. Bxf3 14... Qd6 15. Rfe1 15... Rae8 16. Rxe7 16... Rxe7 17. Bb4? 17... Nxb4 18. axb4 18... Qxb4 19. Rxa7 19... Qxb2? 20. Bxd5?? 20... Nxd5?? 21. Ra8+ 21... Re8 22. Rxe8#,21
Rated Bullet game,https://lichess.org/PH8vsr1d,2025.07.01,-,PRETORGLO,Schachgenie,0-1,2025.07.01,00:00:31,2449,2516,-5,+5,A00,Hungarian Opening: Symmetrical Variation,60+0,Time forfeit,1. g3 1... g6 2. Bg2 2... Bg7 3. e4 3... d6 4. d4 4... Nc6 5. c3 5... e5 6. Ne2 6... exd4 7. cxd4 7... Bg4 8. f3 8... Bd7 9. Be3 9... Nce7 10. Nbc3 10... h5 11. Qd2 11... h4 12. O-O-O 12... h3 13. Bf1 13... Nf6 14. Nf4 14... a6 15. g4 15... b5 16. Nxh3 16... b4 17. Ne2 17... a5 18. Kb1 18... a4 19. Qxb4 19... Rb8 20. Qd2 20... a3 21. b3 21... Qc8 22. Nf2 22... Qb7 23. Nc1 23... Nc6 24. Bd3 24... Nb4 25. h4 25... Bb5 26. Bxb5+ 26... Qxb5 27. Nfd3 27... Na6 28. Nf4 28... Nd7 29. Nd5 29... Rb7 30. h5 30... c5 31. hxg6 31... fxg6 32. Rxh8+ 32... Bxh8 33. Nc3 33... Qb4 34. Nd5 34... Qxd2 35. Rxd2 35... cxd4 36. Bxd4 36... Bxd4 37. Rxd4 37... Ne5,37
Rated Bullet game,https://lichess.org/NxLsLsNz,2025.07.01,-,outsider92,Vikings00,1-0,2025.07.01,00:00:32,1941,1924,+6,-5,A10,English Opening: Anglo-Scandinavian Defense,60+0,Time forfeit,1. c4 1... d5 2. cxd5 2... c6 3. dxc6 3... Nxc6 4. Nc3 4... g6 5. g3 5... Bg7 6. Bg2 6... Nf6 7. Nf3 7... O-O 8. O-O 8... Qc7 9. Re1 9... a6 10. d4 10... Bg4 11. d5 11... Rad8 12. Bf4 12... Qb6 13. Na4 13... Qa5 14. Qb3 14... Nxd5 15. h3 15... Nxf4 16. hxg4 16... Nxg2 17. Kxg2 17... b5 18. Nc5 18... Nd4 19. Nxd4 19... Bxd4 20. Nb7 20... Qb6 21. Nxd8 21... Bxf2 22. Ne6 22... Bxe1 23. Nxf8 23... Qf2+ 24. Kh3 24... Kxf8 25. Qf3 25... e5 26. Qa8+ 26... Kg7 27. Qf3 27... Qg1 28. Rxe1 28... Qxe1 29. Qg2 29... Qb4 30. b3 30... h5 31. Kh2,30
Rated Blitz game,https://lichess.org/EVI9x1HS,2025.07.01,-,Roger5Smith,ghridjvw,1-0,2025.07.01,00:00:32,1576,1588,+6,-10,A00,Hungarian Opening: Dutch Defense,180+0,Normal,1. g3 1... f5 2. Bg2 2... Nf6 3. e3 3... e6 4. Ne2 4... Be7 5. b3 5... O-O 6. Bb2 6... d5 7. d3 7... c6 8. Nd2 8... Bd7 9. O-O 9... Be8 10. c4 10... Nbd7 11. Qc2 11... b6 12. Nf4 12... a5 13. Rac1 13... a4 14. cxd5 14... cxd5 15. bxa4 15... Bf7 16. e4 16... fxe4 17. dxe4 17... Nxe4 18. Nxe4 18... dxe4 19. Bxe4 19... Nf6 20. Bxa8,19
Rated Blitz game,https://lichess.org/kUQlE3wo,2025.07.01,-,vomacrac,La_Mistica1,1-0,2025.07.01,00:00:32,2315,2282,+5,-5,E00,Catalan Opening,180+0,Normal,1. d4 1... Nf6 2. c4 2... e6 3. g3 3... d5 4. Nf3 4... b6 5. cxd5 5... exd5 6. Bg2 6... Bb4+ 7. Bd2 7... Be7 8. O-O 8... Bb7 9. Ne5 9... O-O 10. Qa4 10... Ne4 11. Bc1 11... c5 12. Rd1 12... Bf6 13. Nf3 13... Qe7 14. Nc3 14... Bc6 15. Qc2 15... Nd7 16. Be3 16... c4 17. Nxe4 17... Qc5 18. dxc5 18... dxe4 19. Nd4 19... Bxd4 20. Bxd4 20... bxc5 21. Bc3 21... f5 22. Rd6 22... Rac8 23. Rad1 23... Nb6 24. Qd2 24... Ba4 25. Qg5 25... g6 26. R1d2,25
