Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,Moves,NumMoves
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/cwcHgC5t,2025.07.01,-,ersiin_ucak11,sreskaanthan,1-0,2025.07.01,00:00:24,1473,1460,+14,-6,B00,St. George Defense,300+0,Time forfeit,1. e4 1... a6 2. Nf3 2... b5 3. c4 3... Bb7 4. cxb5 4... axb5 5. Bxb5 5... Bxe4 6. Qb3 6... e6 7. Ne5 7... Bd6 8. d4 8... Nf6 9. Bg5 9... Be7 10. Nc3 10... Bd5 11. Nxd5 11... Nxd5 12. Bxe7 12... Qxe7 13. O-O 13... O-O 14. a4 14... Nf4 15. Qf3 15... Nd5 16. Rac1 16... c6 17. Bc4 17... Rxa4 18. b3 18... Ra5 19. Nd3 19... Nf6 20. Ra1 20... Rf5 21. Qe2 21... d5 22. Ba6 22... Ne4 23. Ne5 23... Nc3 24. Qc2 24... Qb4 25. Bd3 25... Rf6 26. Bxh7+ 26... Kh8 27. Bd3 27... Qxd4 28. Nf3 28... Rxf3 29. gxf3 29... Qf4 30. Kg2 30... Nb5 31. Rg1 31... Nd4 32. Qd1 32... g6 33. Kf1 33... Kg7 34. Be2 34... Rh8 35. Rg4 35... Qf6 36. Ra4 36... Nxe2 37. Qxe2 37... Rxh2 38. f4 38... Qc3 39. Qe5+ 39... Qxe5 40. fxe5 40... Nd7 41. Ra7 41... Nxe5 42. Rf4 42... Rh1+ 43. Kg2,42
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/QJG6gCRK,2025.07.01,-,PaceS2,incognito1229,1-0,2025.07.01,00:00:24,1388,1322,+5,-5,B40,"Sicilian Defense: French Variation, Open",300+0,Normal,1. e4 1... c5 2. Nf3 2... e6 3. d4 3... cxd4 4. Qxd4 4... Nc6 5. Qd1 5... Qc7 6. Bd3 6... a6 7. Ng5 7... h6 8. Nf3 8... Be7 9. c3 9... Nf6 10. Nd4 10... d5 11. Nxc6 11... bxc6 12. exd5 12... cxd5 13. O-O 13... O-O 14. h3 14... Bd7 15. Nd2 15... Bc6 16. Qf3 16... d4 17. Qg3 17... dxc3 18. Qxc7,17
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/fGFm9exS,2025.07.01,-,chesswatermelon,liAmkaiT,1-0,2025.07.01,00:00:24,1390,1457,+8,-10,D00,Queen's Pawn Game: Accelerated London System,300+0,Time forfeit,1. d4 1... d5 2. Bf4 2... Nf6 3. c3 3... e6 4. Nf3 4... b6 5. h3 5... Bb7 6. Nbd2 6... Bd6 7. Bg3? 7... Bxg3 8. fxg3 8... O-O 9. Ne5? 9... Nbd7? 10. e3? 10... Nxe5 11. dxe5 11... Nd7 12. Nf3 12... f6 13. exf6 13... Nxf6 14. Nd4? 14... Qd6 15. Qf3,14
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/pDBdGf1a,2025.07.01,-,Mister_Humidity,Perspicacious_King,0-1,2025.07.01,00:00:24,1308,1315,-5,+9,?,?,300+0,Abandoned,"",0
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/oT5ljS8U,2025.07.01,-,Carax,Untalnacho,1-0,2025.07.01,00:00:24,1220,1219,+14,-6,C44,Scotch Game: Lolli Variation,300+0,Normal,1. e4 1... e5 2. Nf3 2... Nc6 3. d4 3... exd4 4. Nxd4 4... Nxd4 5. Qxd4 5... d6 6. Nc3 6... Nf6 7. Be3 7... Be6 8. f3 8... d5 9. exd5 9... Nxd5 10. Nxd5 10... Bxd5 11. O-O-O 11... c6 12. Qe5+ 12... Be7 13. Qxg7 13... Bf6 14. Qg4 14... Qa5 15. Bc4 15... Bxb2+ 16. Kxb2 16... Qb4+ 17. Bb3 17... Qxg4 18. fxg4 18... Bxg2 19. Rhe1 19... O-O 20. Rd2 20... Bf3 21. Rf2 21... Bxg4 22. Rg1 22... Kh8 23. Rxg4,22
Rated Blitz tournament https://lichess.org/tournament/ZJxcKHuu,https://lichess.org/pj35dUBT,2025.07.01,-,Evelyncutipa1234,Michafo_1234,0-1,2025.07.01,00:00:24,1169,1192,-8,+8,B00,Pirc Defense,300+0,Normal,1. e4 1... d6 2. Nf3 2... h6 3. Bc4 3... e5 4. O-O 4... g5 5. c3 5... Nf6 6. h3 6... Bg7 7. Qb3 7... Qe7 8. d3 8... c5 9. Be3 9... b6 10. Nfd2 10... Be6 11. Qb5+ 11... Bd7 12. Qb3 12... Nc6 13. Bb5 13... Na5 14. Bxd7+ 14... Nxd7 15. Qb5 15... O-O 16. b4 16... cxb4 17. cxb4 17... Nb7 18. Nc3 18... Nf6 19. Rac1 19... Rac8 20. Nd5 20... Nxd5 21. exd5 21... Rxc1 22. Rxc1 22... Qe8 23. Ne4 23... Qxb5 24. Kh2 24... Qxd3 25. Rc3 25... Qxd5 26. Rd3 26... Qxe4 27. Rd4 27... exd4 28. f3 28... Qxe3 29. a4 29... Qa3 30. a5 30... Qxb4 31. Kg3 31... bxa5 32. f4 32... a4 33. Kg4 33... a3 34. g3 34... a2 35. h4 35... a1=Q 36. h5 36... Qd1+ 37. Kf5 37... Qbb1#,37
Rated Blitz game,https://lichess.org/bTrSbNtZ,2025.07.01,-,AYavuz2701,Dw1ghtSchrute,0-1,2025.07.01,00:00:19,1004,951,-6,+7,B00,Pirc Defense,300+0,Normal,1. e4 1... d6 2. f3 2... Nf6 3. d3 3... g6 4. Bg5 4... Bg7 5. Bxf6 5... Bxf6 6. c3 6... O-O 7. d4 7... b6 8. Bc4 8... c5 9. Bd5 9... Nc6 10. Bxc6 10... Rb8 11. e5 11... dxe5 12. dxe5 12... Qxd1+ 13. Kxd1 13... Bxe5 14. Nd2 14... Bf5 15. Be4 15... Be6 16. Nc4 16... Bg7 17. Kc2 17... Rbd8 18. Ne2 18... Bxc4 19. Nf4 19... Rd7 20. Rad1 20... Rxd1 21. Rxd1 21... g5 22. Nd5 22... e6 23. Ne3 23... Bxa2 24. Ra1 24... Bd5 25. Bxd5 25... exd5 26. Nxd5 26... Rd8 27. Ne7+ 27... Kf8 28. Nf5 28... a5 29. Nxg7 29... Kxg7 30. Rd1 30... Rxd1 31. Kxd1 31... Kf6 32. Kc2 32... Ke5 33. Kb3 33... Kd5 34. Ka4 34... Kc4 35. g3 35... f5 36. h3 36... f4 37. gxf4 37... gxf4 38. h4 38... Kd3 39. Kb5 39... Ke3 40. Kxb6 40... Kxf3 41. Kxc5 41... Ke3 42. Kb5 42... f3 43. c4 43... f2 44. c5 44... f1=Q+ 45. Kxa5 45... Qa1+ 46. Kb4 46... Qxb2+ 47. Kc4 47... Qa2+ 48. Kb5 48... Kd4 49. c6 49... Qc4+ 50. Kb6 50... Qc5+ 51. Kb7 51... Kd5 52. c7 52... Qc6+ 53. Kb8 53... Qb6+ 54. Kc8 54... Qe6+ 55. Kb8 55... Qe8+ 56. c8=Q 56... Qxc8+ 57. Kxc8 57... Ke5 58. Kd7 58... h5 59. Ke7 59... Kf4 60. Kf6 60... Kg4 61. Kg6 61... Kxh4 62. Kf5 62... Kg3 63. Kg5 63... h4 64. Kh5 64... h3 65. Kg5 65... h2 66. Kf5 66... h1=Q 67. Ke5 67... Qe1+ 68. Kd4 68... Kf4 69. Kc4 69... Ke5 70. Kd3 70... Qe4+ 71. Kd2 71... Kd4 72. Kd1 72... Kc3 73. Kc1 73... Qc2#,73
Rated Blitz game,https://lichess.org/L9vr3y7l,2025.07.01,-,jasox14,GhostYoel,0-1,2025.07.01,00:00:19,1736,1743,-5,+6,A40,Queen's Pawn Game,300+0,Normal,1. d4 1... c6 2. Nf3 2... d5 3. e3 3... Bg4 4. Be2 4... Nf6 5. Nbd2 5... e6 6. O-O 6... Nbd7 7. c4 7... Be7 8. c5 8... b6 9. b4 9... bxc5 10. bxc5 10... O-O 11. a4 11... Rb8 12. a5 12... Qc7 13. a6 13... e5 14. dxe5 14... Nxe5 15. Nxe5 15... Bxe2 16. Qxe2 16... Qxe5 17. Ba3 17... Qc3 18. Rfc1 18... Qe5 19. Nf3 19... Qc7 20. Rab1 20... Ne4 21. Nd4 21... Rxb1 22. Rxb1 22... Bxc5 23. Bxc5 23... Nxc5 24. Rc1 24... Qd6 25. Qc2 25... Nxa6 26. Qxc6 26... Qxc6 27. Rxc6 27... Nb4 28. Rd6 28... a5 29. Rb6 29... g6 30. Nb3 30... Ra8 31. Rb5 31... a4 32. Rxb4 32... axb3 33. g3 33... Ra3 34. Kg2 34... Kg7 35. Kf3 35... Kf6 36. Kf4 36... g5+ 37. Kf3 37... h5 38. h3 38... Ke5 39. g4 39... h4 40. Ke2 40... f5 41. Kd2 41... fxg4 42. Rxg4 42... Ra2+ 43. Kc1 43... Rxf2 44. Rxg5+ 44... Rf5 45. Rg4 45... Rf3 46. Rxh4 46... Rxe3 47. Kb2 47... d4 48. Rh5+ 48... Ke4 49. Rh4+ 49... Kd3 50. Kxb3 50... Ke2+ 51. Kc2 51... d3+ 52. Kc1 52... d2+,52
Rated Blitz game,https://lichess.org/9UaY5MKt,2025.07.01,-,shree2211,cocochispi,1-0,2025.07.01,00:00:19,1561,1570,+6,-6,C23,Bishop's Opening,300+0,Normal,1. e4 1... e5 2. Bc4 2... d6 3. Qf3 3... Nf6 4. d3 4... g6 5. Nc3 5... Bg7 6. Bg5 6... O-O 7. Nge2 7... h6 8. Bd2 8... Bg4 9. Qg3 9... Qd7 10. f3 10... Nh5 11. Qxg4 11... Qxg4 12. fxg4 12... Nf6 13. g5 13... hxg5 14. Bxg5 14... Nh5 15. g4 15... Nf6 16. Bxf6 16... Bxf6 17. h4 17... Kg7 18. g5 18... Be7 19. O-O-O 19... Rh8 20. Nd5 20... Bd8 21. Ng3 21... c6 22. Nc3 22... b5 23. Bb3 23... a5 24. a4 24... b4 25. Nce2 25... Na6 26. h5 26... gxh5 27. Nxh5+ 27... Kg6 28. Nf6 28... Rxh1 29. Rxh1 29... Bxf6 30. gxf6 30... Nc5 31. Rg1+ 31... Kh7 32. Bxf7 32... Nxa4 33. b3 33... Nc5 34. Rh1#,33
Rated Blitz game,https://lichess.org/c6QkiphB,2025.07.01,-,VictorDelCarpioV,givemeabrick,1-0,2025.07.01,00:00:19,1468,1444,+5,-5,B00,Pirc Defense,300+0,Normal,1. e4 1... d6 2. d4 2... g6 3. f4 3... Bg7 4. Nf3 4... Nd7 5. Bc4 5... e6 6. c3 6... Nb6 7. Bb3 7... a5 8. a3 8... a4 9. Ba2 9... h5 10. Be3 10... Nd7 11. Nbd2 11... b6 12. Qe2 12... Ba6 13. Qf2 13... Qe7 14. h3 14... Nh6 15. e5 15... dxe5 16. fxe5 16... Nf5 17. Bg5 17... f6 18. exf6 18... Bxf6 19. Bxf6 19... Qxf6 20. O-O-O 20... O-O 21. Ne4 21... Qg7 22. Bxe6+ 22... Kh8 23. Ba2 23... b5 24. g4 24... Nh6 25. Qe3 25... Qf7 26. Bxf7 26... Rxf7 27. Neg5 27... Rf6 28. Qe7 28... Bc8 29. Qh7#,28
